Version,3.0.0,,,,,,,,
translationID,lang,partID,partLabel,partDesc,partInstr,firstReleased,lastUpdated,changes,notes
engac,eng,ac,Accessions report table Shorthand,The abbreviated short name used to reference the report table for accessions and accessionIDs.,table,2.2.2,2.2.2,added in V 2.2.2,
engacadem,eng,academ,Academic institution,The category of organization type used for academic institutions or research groups.,NA,2.0.0,2.0.0,added in V2.0.0,
engaccelNGS2Splus,eng,accelNGS2Splus,Accel-NGS 2S Plus DNA Library Kit,Accel-NGS 2S Plus DNA Library Kit by Swift Biosciences. A library prep kit designed for efficient library prep from fragmented or damaged DNA.,NA,3.0.0,3.0.0,added in V3.0.0,
engaccessIndexID,eng,accessIndexID,Accessions Index ID,Provisional ID to act as a primary key for each row of the accessions table.,NA,3.0.0,3.0.0,added in V3.0.0,
engaccessions,eng,accessions,accessions Table,"Table for recording accession IDs for external data, namely sequences in large sequencing databases and repositories.",NA,2.3.0,2.3.0,added in V2.3.0,
engaccessionsOrder,eng,accessionsOrder,Accessions table column order,Specifies the order of the columns in the accessions table.,NA,3.0.0,3.0.0,added in V3.0.0,
engaccessionsRequired,eng,accessionsRequired,Accessions table required headers,Required headers in the accessions table.,NA,3.0.0,3.0.0,added in V3.0.0,
engaccessNum,eng,accessNum,Accession Number in Repository,The accession number for the data entry in the given data repository or hosting platform.,NA,3.0.0,3.0.0,added in V3.0.0,
engacinetobacter,eng,acinetobacter,Acinetobacter,Acinetobacter,NA,2.2.0,2.2.0,added in V2.2.0,
engacinetobacterGrp,eng,acinetobacterGrp,Acinetobacter Group,A group of measures/methods related to acinebacter bacteria.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engacti,eng,acti,Number of active cases,Number of active cases.,NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
engactiCaseOn,eng,actiCaseOn,Number of active cases by Onset date,Number of active cases by onset date.,"Episode date is the earliest of onset, test or reported date for a confirmed case.",2.2.0,2.2.0,added in V2.2.0,
engactiEp,eng,actiEp,Number of active cases by episode date,Number of active cases by episode date.,"Episode date is the earliest of onset, test or reported date for a confirmed case.",2.2.0,2.2.0,added in V2.2.0,
engaction,eng,action,Public health action,The specific public health action or designation being taken or applied.,NA,3.0.0,3.0.0,added in V3.0.0,
engactionDT,eng,actionDT,Public health action datetime,The date and Time of the public health action.,NA,3.0.0,3.0.0,added in V3.0.0,
engactionGrpID,eng,actionGrpID,Public Health Action Group ID,ID used for linking multiple public health actions together for a single action.,NA,3.0.0,3.0.0,added in V3.0.0,
engactionType,eng,actionType,Public health action type,The type of public health action being taken.,"Sets out the category, with the detailed action being defined in `action` field.",3.0.0,3.0.0,added in V3.0.0,
engactionTypeSet,eng,actionTypeSet,Public Health Action Type Value Set,A set of valid categories for the public health action type field.,NA,3.0.0,3.0.0,added in V3.0.0,
engactiRep,eng,actiRep,Number of active cases by Report date,Number of active cases by report date.,"Episode date is the earliest of onset, test or reported date for a confirmed case.",2.2.0,2.2.0,added in V2.2.0,
engactiTest,eng,actiTest,Number of active cases by test date,Number of active cases by test date.,"Episode date is the earliest of onset, test or reported date for a confirmed case.",2.2.0,2.2.0,added in V2.2.0,
engactive,eng,active,Active,Indicator that a part is in current use.,NA,2.0.0,2.0.0,added in V2.0.0,
engad,eng,ad,Address table Shorthand,"The abbreviated short name used to reference the The table that contains information about addresses. Addresses can recorded for sites, organizations or contacts (indivduals). ",table,2.2.2,2.2.2,added in V 2.2.2,
engadapterRemoval,eng,adapterRemoval,AdapterRemoval,A sequencing data processing application that removes adapters and filters reads based on quality and length.,NA,3.0.0,3.0.0,added in V3.0.0,
engaDate,eng,aDate,Analysis date,Date the measurement was performed in the lab.,NA,1.0.0,2.1.0,Github Issue #211,
engaDateEnd,eng,aDateEnd,Analysis date end,Date the measurement or analysis was completed.,NA,1.0.0,2.0.0,Depreciated. See issue #211. https://github.com/Big-Life-Lab/PHES-ODM/issues/211,
engaDateStart,eng,aDateStart,Analysis date start,Date the measurement or analysis was started.,NA,1.0.0,2.0.0,NA,
engaddL1,eng,addL1,Address Line 1,"Line 1 (the street name, number and direction) for a given address.",NA,2.0.0,2.0.0,added in V2.0.0,
engaddL2,eng,addL2,Address Line 2,Line 2 (the unit number) for a given address.,NA,2.0.0,2.0.0,added in V2.0.0,
engaddresses,eng,addresses,Address table,"The table that contains information about addresses. Addresses can recorded for sites, organizations or contacts (indivduals). ","The Sites, Organizations, and Contacts tables include a link to the addresses table through Address ID.",2.0.0,2.0.0,NA,
engaddressesOrder,eng,addressesOrder,Addresses table column order,Specifies the order of the columns in the Addresses table.,NA,2.0.0,2.0.0,added in V2.0.0,
engaddressesRequired,eng,addressesRequired,Address table required headers,Specifies the columns required in a Addresses table.,NA,2.0.0,2.0.0,added in V2.0.0,
engaddressID,eng,addressID,Address ID,A unique identifier for an address.,NA,2.0.0,2.0.0,added in V2.0.0,
engadenovirusF40,eng,adenovirusF40,Adenovirus (F40/41),Adenovirus (F40/41),NA,2.2.0,2.2.0,added in V2.2.0,
engadenovirusGrp,eng,adenovirusGrp,Adenovirus Group,A group of measures/methods related to Adenoviruses.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engadmRegLevel,eng,admRegLevel,Administrative regions,Administrative regions,NA,2.0.0,3.0.0,"Reactivated as organization level and sector categorical inputs, rather than attributes.",
engadv40,eng,adv40,Adenovirus 40,Adenovirus serotype 40.,NA,2.1.0,2.1.0,added in V2.1.0,
engadv41,eng,adv41,Adenovirus 41,Adenovirus serotype 41.,NA,2.1.0,2.1.0,added in V2.1.0,
engadvF41Fibre,eng,advF41Fibre,Adenovirus F41 Fibre Gene Target,Human Adenovirus Group F41 Fiber gene target,NA,2.1.0,2.1.0,added in V2.1.0,
engaerTank,eng,aerTank,Aeration tank ,A chamber in wastewater treatment where air is introduced to promote microbial breakdown of organic pollutants.,NA,3.0.0,3.0.0,added in V3.0.0,
engafl30,eng,afl30,Academic Free License v3.0,The licensing for the measure or data set is managed under the Academic Free License v3.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engaft,eng,aft,Afternoon,"Sample was collected in the afternoon, sometime after lunch.",NA,3.0.0,3.0.0,added in V3.0.0,
engafterQC,eng,afterQC,AfterQC,"An automated QC pipeline tool for FASTQ data, combining quality assessment and error correction.",NA,3.0.0,3.0.0,added in V3.0.0,
engafu,eng,afu,Air filter,Air filter as part of filtration or circulating unit. ,Typically the unit would have a fan or blower. ,2.0.0,2.0.0,added in V2.0.0,
engaggragationScale,eng,aggragationScale,Aggregation scale,A scale used for an aggregation. Only applicable for measures and units.,NA,2.0.0,2.0.0,added in V2.0.0,
engaggregation,eng,aggregation,Aggregation,Statistical measures used to report a measure. Each aggregation has a corresponding value.,"The default aggregation is `single`, which corresponds to a single measurement. ",1.0.0,2.0.0,restructured,
engaggregationInput,eng,aggregationInput,Aggregation input (wide table),The partID for the aggregation being used in a wide name.,NA,2.2.0,2.2.0,added in V2.2.0,
engaggregationName,eng,aggregationName,Aggregation name (wide table),The aggregation referenced for the wide name.,NA,2.2.0,2.2.0,added in V2.2.0,
engaggregations,eng,aggregations,Aggregations,Statistical measures used to report a measure. Each measure reported as a number should be reported with an aggregation.,"The default aggregation is `single`, which corresponds to a single measurement. ",2.0.0,2.0.0,added in V2.0.0,
engaggregationScales,eng,aggregationScales,Aggregation scales,The scale of an aggregation set. Aggregation scales include quantitative and qualitative.,NA,2.0.0,2.0.0,added in V2.0.0,
engaggregationSet,eng,aggregationSet,Aggregation set,The aggregation set for a unit.,NA,2.0.0,2.0.0,added in V2.0.0,
engaggregationSets,eng,aggregationSets,Aggregation sets,Sets of aggregations.,"Examples of aggregation sets include logarithm, linear and boolean.",2.0.0,2.0.0,added in V2.0.0,
engagpl30,eng,agpl30,GNU Affero General Public License v3.0,The licensing for the measure or data set is managed under the GNU Affero General Public License v3.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engagri,eng,agri,Agricultural activity,Agricultural activity occurred upstream of the sampling site.,NA,3.0.0,3.0.0,added in V3.0.0,
engagt,eng,agt,Antimicrobial gradient test,"A gradient strip test is performed according to the manufacturer’s instructions: a short plastic or paper strip impregnated with antibiotic is placed on inoculated agar. On the standardised 100 mm Petri dish, two strips may be placed, while on the larger 150 mm Petri dish, up to six antibiotics may be tested simultaneously.",NA,3.0.0,3.0.0,added in V3.0.0,
engair,eng,air,Air compartment,A measure or observation made from a substance in the air.,NA,2.0.0,2.0.0,"added in V2.0, changed to partType = compartment",
engairCompartmentSet,eng,airCompartmentSet,Air compartment set,A compartment set for measures and methods in the air compartment.,NA,2.0.0,2.0.0,added in V2.0.0,
engairpln,eng,airpln,Airplane,Airplane sample shed category type,NA,1.0.0,2.0.0,"description wording, structure",
engairport,eng,airport,Airport,Airport sample shed category type,NA,2.0.0,2.0.0,added in V2.0.0,
engairportLists,eng,airportLists,Airport lists worksheet,Parts lists used to generate airport and airplane data entry templates.,NA,2.0.0,2.0.0,added in V2.0.0,
engairportSheetSet,eng,airportSheetSet,Airport Sheets Set,Worksheets in the full airport surveillance template (list + template).,`ODM_template-planes_{version}.xlxs,2.0.0,2.0.0,added in V2.0.0,
engairportTemplate,eng,airportTemplate,Airport Surveillance Template,The input template for airport and airplane surveillance in the EU.,NA,2.0.0,2.1.0,Update,
engairSurfaceCompartmentSet,eng,airSurfaceCompartmentSet,Air and surface compartment set,A compartment set for measures and methods in the air or surface compartments.,NA,2.0.0,2.0.0,added in V2.0.0,
engairTemp,eng,airTemp,Environmental temperature,Environmental temperature.,NA,1.0.0,2.0.0,"description wording, structure",
engairWaterCompartmentSet,eng,airWaterCompartmentSet,Air and water compartment set,A compartment set for measures and methods in the air or water compartments.,NA,2.0.0,2.0.0,added in V2.0.0,
engaliasDep,eng,aliasDep,Alias depreciated,ID of an assay that is the same or similar. A comma separated list.,"Deprecated as of version 2, please avoid use. Use notes instead.",1.0.0,2.0.0,depreciated,
engaliasIDDep,eng,aliasIDDep,Alias ID depreciated,Alias id,ID of an assay that is the same or similar. a comma separated list.,1.0.0,2.0.0,depreciated,
engaliView,eng,aliView,AliView,Sequencing software that is a user-friendly alignment editor with consensus sequence options.,NA,3.0.0,3.0.0,added in V3.0.0,
engalkaline,eng,alkaline,Alkalinity,Measure of alkalinity,NA,3.0.0,3.0.0,added in V3.0.0,
engalkalinitySet,eng,alkalinitySet,Alkalinity unit set,Unit set for alkalinity measurements.,NA,3.0.0,3.0.0,added in V3.0.0,
engallActionsSet,eng,allActionsSet,All Public Health Actions Set,"A set of all valid categories for public health action, regardless of action type.",NA,3.0.0,3.0.0,added in V3.0.0,
engallDo,eng,allDo,All domains,"Domain that specifies that it could apply to al domains; biological, chemical, and physical.",NA,2.0.0,2.0.0,added in V2.0.0,
engallele,eng,allele,Alleles class,Measures and methods related to alleles.,NA,2.0.0,2.0.0,added in V2.0.0,
engalleleUnitSet,eng,alleleUnitSet,Allele unit set,Unit set for alleles.,NA,2.0.0,2.0.0,added in V2.0.0,
engallOrgs,eng,allOrgs,Access to all org,"If this is 'no', this data will not be available to any partner organization. If missing, data will be available to the all organizations.",NA,1.0.0,2.0.0,depreciated,
engallpathsLG,eng,allpathsLG,AllPaths-LG,"A sequencing software that was designed for high-quality assemblies using large, paired-end Illumina data.",NA,3.0.0,3.0.0,added in V3.0.0,
engallStandardSet,eng,allStandardSet,Data Adjustment Standard Value Set,Set of valid input values for the standard field.,NA,3.0.0,3.0.0,added in V3.0.0,
engalod,eng,alod,Assay Limit of Detection (LOD),"The minimum level of a target consistently detectable (e.g., with 95% probability) using the assay considering only the amplification and quantification steps of RT-qPCR.",NA,2.2.0,3.0.0,changed quality indicator set from general to measure.,
engaloh3,eng,aloh3,Aloh3 precipitation,Aloh3 precipitation,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
engambigNs,eng,ambigNs,The number of ambiguous bases (Ns) normalized,The number of ambiguous bases (Ns) normalized per 100 kilobasepairs (kbp).,Provide a numerical value (no need to include units).,3.0.0,3.0.0,added in V3.0.0,
engamDefDep,eng,amDefDep,Assay method id default depreciated,Used as default when a new measurement is created for this lab. See ID in AssayMethod table.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0.0,2.0.0,depreciated,
engamiconUf,eng,amiconUf,Amicon ultrafiltration,Amicon ultrafiltration,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
engamiMP96,eng,amiMP96,"Amicon filter, extract with MP96","Nucleaic acid extraction, usually used for the liquid fraction of a wastewater sample, using amicon filtration and using an MP96 for final extraction.",NA,2.0.0,2.0.0,added in V2.0.0,
engamp,eng,amp,Amplicon sequencing,Specifies the amplicon strategy for genetic sequencing,NA,2.0.0,2.0.0,added in V2.0.0,
engampliArtifact,eng,ampliArtifact,Sequence Amplification Artifacts,Sequence amplification artifacts detected.,NA,2.3.0,2.3.0,added in v 2.3.0,
engampSize,eng,ampSize,Amplicon Size,The length of the amplicon generated by PCR amplification.,NA,3.0.0,3.0.0,added in V3.0.0,
engamrClass,eng,amrClass,Antimicrobial resistance (AMR) classification,"A public health action type wherein threat level classification has been done on a strain of antimicrobial resistant (AMR) microbes, and communicated to the public.",NA,3.0.0,3.0.0,added in V3.0.0,
engamrClassSet,eng,amrClassSet,Antimicrobial Resistance (AMR) Classification Value Set,"A set of valid categories for the public health action field, where the action type is 'antimicrobial resistance (AMR) classification'.",NA,3.0.0,3.0.0,added in V3.0.0,
engamrFinderPlus,eng,amrFinderPlus,AMRFinderPlus Software,Software tool that was developed by NCBI to detect AMR genes in bacterial genomes.,NA,3.0.0,3.0.0,added in V3.0.0,
engamrGrp,eng,amrGrp,Anti-microbial resistance Group,The group for measures and methods pertaining to anti-microbial resistant microbes (general).,NA,2.1.0,2.1.0,added in V2.1.0,
engamrSoft,eng,amrSoft,AMR Analysis Software,Software use to analyse bacterial genomes and genes for anti-mocrobial resistance (AMR).,NA,3.0.0,3.0.0,added in V3.0.0,
engamrSoftSet,eng,amrSoftSet,AMR Software Set,The valid set of AMR analysis software categories.,NA,3.0.0,3.0.0,added in V3.0.0,
enganaplasmaGrp,eng,anaplasmaGrp,Anaplasma Group,A group of measures/methods related to anaplasma bacteria.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engandBoo,eng,andBoo,AND Boolean aggregation,"""AND"" aggreation.","If all values in the aggregation is ""TRUE"" then the AND aggregation is also ""TRUE"". If all values in the aggregation is ""FALSE"" then the AND aggregation is also ""TRUE"". ",2.0.0,2.0.0,added in V2.0.0,
enganneal,eng,anneal,annealing/extension,Describes the annealing and/or extension cycle in a PCR process.,NA,2.2.0,2.2.0,added in V2.2.0,
enganyCompartmentSet,eng,anyCompartmentSet,Any compartment set,A compartment set for measures and methods in any compartment.,NA,2.0.0,2.0.0,added in V2.0.0,
enganySpecimenSet,eng,anySpecimenSet,Any specimen set,A specimen set that inculdes any specimen.,NA,2.0.0,2.0.0,added in V2.0.0,
engapache20,eng,apache20,Apache license 2.0,The licensing for the measure or data set is managed under the Apache license 2.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engaPhagocytophilum,eng,aPhagocytophilum,Anaplasma phagocytophilum,Anaplasma phagocytophilum,NA,2.2.0,2.2.0,added in V2.2.0,
engapolloPrepX,eng,apolloPrepX,Apollo PrepX Library Preparation Kits,Apollo PrepX Library Preparation Kit by Takara Bio. An automated library preparation kit for Illumina sequencing on Apollo systems.,NA,3.0.0,3.0.0,added in V3.0.0,
engarachne,eng,arachne,ARACHNE,"A sequencing software that is an early assembler optimized for large, complex genomes.",NA,3.0.0,3.0.0,added in V3.0.0,
engardb,eng,ardb,Antibiotic Resistance Genes Database (ARDB),An archive for antibiotic resistance genes and associated information.,NA,3.0.0,3.0.0,added in V3.0.0,
engareaPr,eng,areaPr,Area proportional sample,An area proportional sample.,Used for surface testing.,2.0.0,2.0.0,added in V2.0.0,
engaRegLevel,eng,aRegLevel,A-Tier Region-level Aggregation at Site,"Specifies that a sewershed/site represents an entire region - where region here is an ""A-Tier"" region and refers to large, dense urban areas made up of multiple overlapping cities/boroughs. This would be a greater metropolitan area.",NA,3.0.0,3.0.0,added in V3.0.0,
engargAnnotSoft,eng,argAnnotSoft,ARG-ANNOT Annotation Tool,Software annotation tool for antimicrobial resistance genes.,NA,3.0.0,3.0.0,added in V3.0.0,
engariba,eng,ariba,ARIBA,"ARIBA. Focus: Genotyping, MLST, and serotyping from raw sequencing reads. Applications: Salmonella, Escherichia coli, Klebsiella pneumoniae, and more. Features: Works with custom databases for serotyping and resistance gene identification.",NA,3.0.0,3.0.0,added in V3.0.0,
engarTemp,eng,arTemp,Arrival temperature,The temperature of a sample upon arrival at the laboratory for analysis.,NA,1.0.0,2.0.0,added in V2.0.0,
engarticV1,eng,articV1,Artic V1 Primer Set,An amplicon strategy which was developed by the ARTIC consortium for SARS-CoV-2 with the attributes of version 1.0.0.,NA,3.0.0,3.0.0,added in V3.0.0,
engarticV2,eng,articV2,Artic V2 Primer Set,An amplicon strategy which was developed by the ARTIC consortium for SARS-CoV-2 with the attributes of version 2.0.0.,NA,3.0.0,3.0.0,added in V3.0.0,
engarticV3,eng,articV3,Use of the articV3 primer,Initial implementation of an ARTIC bioinformatics platform for nanopore sequencing of nCoV2019 novel coronavirus; Artic Foundation v3 primer.,NA,2.0.0,2.0.0,added in V2.0.0,
engarticV4,eng,articV4,Use of the articV4 primer,Artic V4 sequencing primer for VOCs and VOIs.,NA,2.0.0,2.0.0,added in V2.0.0,
engarticV41,eng,articV41,Artic V4.1 Primer Set,An amplicon strategy which was developed by the ARTIC consortium for SARS-CoV-2 with the attributes of version 4.1.0.,NA,3.0.0,3.0.0,added in V3.0.0,
engarticV500,eng,articV500,Artic V5 Primer Set,An amplicon strategy which was developed by the ARTIC consortium for SARS-CoV-2 with the attributes of version 5.0.0 which produces amplicons approximately 400bp in length.,NA,3.0.0,3.0.0,added in V3.0.0,
engarticV510,eng,articV510,Artic V5.1 Primer Set,An amplicon strategy which was developed by the ARTIC consortium for SARS-CoV-2with the attributes of version 5.1.0 which produces amplicons approximately 400bp in length.,NA,3.0.0,3.0.0,added in V3.0.0,
engarticV520bp1200,eng,articV520bp1200,"Artic V5.2 Primer Set, 1200bp",An amplicon strategy which was developed by the ARTIC consortium for SARS-CoV-2 with the attributes of version 5.2.0 which produces amplicons approximately 1200bp in length.,NA,3.0.0,3.0.0,added in V3.0.0,
engarticV520bp400,eng,articV520bp400,"Artic V5.2 Primer Set, 400bp",An amplicon strategy which was developed by the ARTIC consortium for SARS-CoV-2 with the attributes of version 5.2.0 which produces amplicons approximately 400bp in length.,NA,3.0.0,3.0.0,added in V3.0.0,
engarticV532,eng,articV532,Artic V5.3.2 Primer Set,An amplicon strategy which was developed by the ARTIC consortium for SARS-CoV-2 with the attributes of version 5.3.2 which produces amplicons approximately 400bp in length.,NA,3.0.0,3.0.0,added in V3.0.0,
engartistic20,eng,artistic20,Artistic license 2.0,The licensing for the measure or data set is managed under the Artistic license 2.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engasID,eng,asID,Assay ID,Links with the AssayMethod used to perform the analysis. Use instrument.ID for measures that are not viral measures.,"Deprecated as of version 2, please avoid use. Refer to methodID instead.",1.0.0,2.0.0,"depreciated, now covered by partID = methodID",
engastrovirus,eng,astrovirus,Astrovirus,Astrovirus,NA,2.2.0,2.2.0,added in V2.2.0,
engastrovirusGrp,eng,astrovirusGrp,Astrovirus Group,A group of measures/methods related to astroviruses.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engatm,eng,atm,Amies Transport Medium,A buffer solution/medium that maintains viability of bacteria in wastewater and environmental samples during transport.,NA,3.0.0,3.0.0,added in V3.0.0,
engatropos,eng,atropos,Atropos,A QC pipeline tool for sequencing data that performs adapter trimming and quality filtering with built-in QC reporting.,NA,3.0.0,3.0.0,added in V3.0.0,
engattributeInput,eng,attributeInput,Attribute input (wide table),The partID for the attribute being used in a wide name.,NA,2.2.0,2.2.0,added in V2.2.0,
engattributeName,eng,attributeName,Attribute name (wide table),The attribute referenced for the wide name.,NA,2.2.0,2.2.0,added in V2.2.0,
engattributes,eng,attributes,Attributes,"Attributes describe the who, where, when, and why of environmental surveillance. ","There are attributes for domain, specimen, compartment, or table. Attributes are one of the three main components or ways to report environment surviellence data. The other two components are measures and methods.",2.0.0,2.0.0,added in V2.0.0,
engautoComp,eng,autoComp,Automatic composite sampling,A composite sampler which is automated to collect and store multiple wastewater samples across multiple time points.,NA,3.0.0,3.0.0,added in V3.0.0,
engautoInst,eng,autoInst,Autosamplers,"Autosampler instruments, used to automatically collect flow- or time-proportional samples over a period (e.g., ISCO autosamplers).",NA,3.0.0,3.0.0,added in V3.0.0,
engautoSeq,eng,autoSeq,Automatic sequential sampling,A composite sampler which is automated to collect and combine multiple samples of equal volume taken at a set time interval.,NA,3.0.0,3.0.0,added in V3.0.0,
engbabesia,eng,babesia,Babesia,Babesia,NA,2.2.0,2.2.0,added in V2.2.0,
engbabesiaGrp,eng,babesiaGrp,Babesia or Nuttallia Group,A group of measures/methods related to babesia parasites.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engbacCul,eng,bacCul,Bacterial culture,Growing a bacterial culture to test for bacterial presence.,NA,3.0.0,3.0.0,added in V3.0.0,
engbacMet,eng,bacMet,BacMet Database,Database of antibacterial biocide and metal resistance genes.,NA,3.0.0,3.0.0,added in V3.0.0,
engbact16sABIFor,eng,bact16sABIFor,Bacteroides 16S forward primer (HF183) (ABI),Bacteroides 16S forward primer (HF183) (ABI),NA,2.2.0,2.2.0,added in V2.2.0,
engbact16sABIProbe,eng,bact16sABIProbe,Bacteroides 16S probe (BacP234) (ABI),Bacteroides 16S probe (BacP234) (ABI),NA,2.2.0,2.2.0,added in V2.2.0,
engbact16sABIRev,eng,bact16sABIRev,Bacteroides 16S reverse primer (BacR287) (ABI),Bacteroides 16S reverse primer (BacR287) (ABI),NA,2.2.0,2.2.0,added in V2.2.0,
engbacteriaUnitSet,eng,bacteriaUnitSet,Bacteria unit set,Unit set for bacteria-related measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
engbacteroidesGrp,eng,bacteroidesGrp,Bacteroides Group,A group of measures/methods related to bacteroides bacteria.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engbactFung,eng,bactFung,Bacteria and Fungus Class,Measures and methods relating to bacteria.,NA,2.0.0,2.0.0,added in V2.0.0,
engbactMeth,eng,bactMeth,Bacterial testing method,Description of the bacterial testing/detection method.,NA,3.0.0,3.0.0,added in V3.0.0,
engbactMethSet,eng,bactMethSet,Bacterial testing method set,The set capturing containing all of the valid methods for the bacterial testing method.,NA,3.0.0,3.0.0,added in V3.0.0,
engbactMisc,eng,bactMisc,Miscellaneous bacteria group,A group of measures/methods related to miscellaneous bacteria.,"The miscallenous bacteria are often have only one measure or method. When a bacteria has many measures, they will be given their own groupID in updated dictionary versions.",2.0.0,3.0.0,Re-activated to manage grouping for generic bacterial wet lab methods.,
engbagFilt,eng,bagFilt,Bag Mediated Filtration ,Sample was collected using bag-mediated filtration.,NA,3.0.0,3.0.0,added in V3.0.0,
engbamQC,eng,bamQC,BamQC (from Qualimap),"A QC pipeline tool for sequencing data that focuses on quality control for mapped data in BAM format, reporting alignment quality.",NA,3.0.0,3.0.0,added in V3.0.0,
engbamUtil,eng,bamUtil,bamUtil Dedup,A deduplication method that removes duplicate reads directly from BAM files.,NA,3.0.0,3.0.0,added in V3.0.0,
engbarScreen,eng,barScreen,Bar screen ,"A bar screen is a mechanical device used to remove large solid debris from wastewater or sewage as it enters a treatment plant. It consists of a series of parallel bars or rods, spaced at specific intervals, that allow water to pass through while capturing larger objects. This process prevents damage to downstream equipment and ensures efficient treatment. Bar screens are typically installed at the inlet of wastewater treatment facilities and can be cleaned manually or mechanically, depending on the design and operational requirements.",NA,3.0.0,3.0.0,added in V3.0.0,
engbasePairSet,eng,basePairSet,Base-pair unit set,Unit set for base-pair measurements.,NA,3.0.0,3.0.0,added in V3.0.0,
engbayesHammer,eng,bayesHammer,BayesHammer (from SPAdes),A sequencing data processing application that does error correction tool specifically for Illumina reads.,NA,3.0.0,3.0.0,added in V3.0.0,
engbayesSmooth,eng,bayesSmooth,Bayesian Smoothing applied,This data treatment smooths the measurement value using bayesian smoothing techniques.,NA,3.0.0,3.0.0,added in V3.0.0,
engbbduk,eng,bbduk,BBDuk (from BBTools),"A QC pipeline tool for sequencing data that is a part of the BBMap suite, performs filtering and trimming, and generates QC statistics.",NA,3.0.0,3.0.0,added in V3.0.0,
engbbmap,eng,bbmap,BBMap,BBMap. A general-purpose read mapper. High-sensitivity aligner for DNA and RNA reads. Best for: Error-prone reads from platforms like Nanopore or PacBio.,NA,3.0.0,3.0.0,added in V3.0.0,
engbbmapReform,eng,bbmapReform,BBMap Reformat,A dehosting software that filters out host sequences by aligning to reference genomes.,NA,3.0.0,3.0.0,added in V3.0.0,
engbbmapSuite,eng,bbmapSuite,BBMap Suite,"A sequencing data processing application library that includes tools like BBDuk for quality trimming, adapter removal, and quality filtering.",NA,3.0.0,3.0.0,added in V3.0.0,
engbbMP96,eng,bbMP96,"Bead beating, extract with MP96","Nucleaic acid extraction, usually used for solid fraction of a wastewater sample, using bead beating and using an MP96 for final extraction.",NA,2.0.0,2.0.0,added in V2.0.0,
engbBurgdorferi,eng,bBurgdorferi,Borrelia burgdorferi,Borrelia burgdorferi,NA,2.2.0,2.2.0,added in V2.2.0,
